"playlist_name","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","track.name","track.popularity","year"
"Pop",0.627,0.81,-5.296,0.0431,0.0125,3.09e-05,0.111,0.409,"A Year Without Rain",61,2010
"Pop",0.77,0.766,-2.949,0.0358,0.234,4.13e-06,0.0921,0.834,"Bang Bang Bang",46,2011
"Pop",0.727,0.702,-6.19,0.131,0.0991,9.42e-06,0.394,0.525,"Feeling So Good",50,2019
"Pop",0.678,0.277,-6.571,0.0285,0.651,0,0.174,0.514,"Outside Looking In",19,2007
"Pop",0.821,0.899,-4.859,0.0589,0.193,0,0.105,0.924,"Vertical",7,2007
"Pop",0.715,0.792,-6.4,0.0325,0.055,0.0236,0.269,0.357,"Glitch",50,2018
"Pop",0.751,0.858,-6.812,0.0471,0.0799,0,0.0969,0.374,"To The Wire",43,2019
"Pop",0.634,0.623,-8.855,0.0258,0.000449,0.0108,0.0649,0.867,"The Road to Hell Part 2",49,1989
"Pop",0.565,0.67,-13.777,0.032,0.0808,0.466,0.0518,0.253,"Looking for the Summer",56,1991
"Pop",0.747,0.575,-12.017,0.0311,0.231,0.0935,0.394,0.615,"On the Beach",50,1986
"Pop",0.657,0.706,-10.187,0.0232,0.0134,0.000198,0.394,0.77,"Josephine - New Version 2008",38,2008
"Pop",0.471,0.437,-11.396,0.037,0.596,0.641,0.278,0.337,"Bird of Paradise",0,2003
"Pop",0.624,0.682,-7.274,0.0302,0.615,0.252,0.288,0.432,"What It Is",61,2000
"Pop",0.633,0.809,-8.595,0.0282,0.103,0.611,0.0726,0.964,"Lady Writer",62,1979
"Pop",0.82,0.452,-9.796,0.0348,0.543,0.00294,0.0714,0.74,"Every Breath You Take",84,1983
"Pop",0.782,0.549,-12.066,0.218,0.0647,0.000111,0.0774,0.955,"Can't Stand Losing You",57,1992
"Pop",0.697,0.507,-14.636,0.0315,0.0572,0.00126,0.0984,0.235,"It's Different For Girls",51,1979
"Pop",0.726,0.89,-6.35,0.0939,0.0913,0.198,0.149,0.66,"Out Of The Dark",58,1998
"Pop",0.762,0.986,-5.517,0.218,0.45,0.000867,0.367,0.96,"Egoist",56,1998
"Pop",0.83,0.738,-10.051,0.0697,0.235,5.15e-06,0.211,0.962,"Vienna Calling",47,1985
"Pop",0.73,0.735,-10.581,0.0372,0.0593,0.000618,0.074,0.966,"Junge Roemer",49,1984
"Pop",0.562,0.939,-4.282,0.0475,0.046,0,0.112,0.684,"Stronger (What Doesn't Kill You)",75,2011
"Pop",0.49,0.798,-3.66,0.0489,0.0137,0,0.0627,0.479,"Heartbeat Song",67,2015
"Pop",0.808,0.581,-5.43,0.07,0.0053,1.19e-05,0.0828,0.758,"Love So Soft",59,2017
"Pop",0.926,0.916,-2.221,0.0929,0.35,6.17e-06,0.0234,0.904,"Hollaback Girl",71,2004
"Pop",0.756,0.77,-3.502,0.0343,0.191,0,0.178,0.73,"The Sweet Escape",67,2006
"Pop",0.856,0.754,-2.728,0.0416,0.0294,1.49e-05,0.206,0.722,"Rich Girl",67,2004
"Pop",0.676,0.948,-2.557,0.0628,0.0509,8.19e-06,0.384,0.731,"What You Waiting For?",59,2004
"Pop",0.745,0.695,-5.076,0.0271,0.00593,0,0.0615,0.519,"Stars Are Blind",56,2006
"Pop",0.714,0.849,-4.629,0.049,0.117,0,0.352,0.663,"Stars Are Blind - Luny Tunes Remix; feat. Wisin and Yandel",42,2006
"Pop",0.623,0.829,-4.613,0.0286,0.0354,0,0.0762,0.779,"Found What I've Been Looking For",61,2018
"Pop",0.622,0.869,-3.639,0.043,0.109,0,0.107,0.964,"Royal Highness",51,2018
"Pop",0.572,0.774,-4.353,0.0482,0.0327,0,0.113,0.339,"Sober",48,2018
"Pop",0.65,0.763,-4.297,0.0288,0.0204,0.00113,0.154,0.244,"Think Too Much, Feel Too Little",33,2014
"Pop",0.692,0.907,-6.407,0.0956,0.0442,0,0.102,0.807,"It's Alright",25,2005
"Pop",0.831,0.777,-5.353,0.19,0.226,0,0.361,0.618,"Que Mas Da (I Don't Care) (feat. Fat Joe) - Luny Tunes Reggaeton Mix",35,2005
"Pop",0.788,0.838,-7.718,0.038,0.0899,0.00109,0.0592,0.97,"Que Dia Es Hoy (Self-control) - Remix Version",21,2008
"Pop",0.705,0.921,-7.616,0.0752,0.0022,1.16e-06,0.0434,0.675,"María - Pablo Flores Spanglish Radio Edit",31,2008
"Pop",0.674,0.969,-5.012,0.0578,0.027,3.66e-05,0.339,0.445,"La Bomba - Remix - Single Edit",27,2008
"Pop",0.62,0.95,-4.207,0.0973,0.000895,3e-06,0.354,0.883,"She Bangs - English Version",37,2011
"Pop",0.746,0.595,-15.984,0.0462,0.025,1.24e-05,0.0413,0.893,"Dime Que Me Quieres (Bring A Little Lovin)",53,1991
